country,country_code,continent,sub_region,year,human_development_index,corruption_perception_index,population,life_exp,gdp_per_capita
Afghanistan,AFG,Asia,Southern Asia,2012,0.47,8,29726803,62.086,648.5110696
Albania,ALB,Europe,Southern Europe,2012,0.759,33,2880667,77.389,4247.614342
Algeria,DZA,Africa,Northern Africa,2012,0.737,34,37439427,75.187,5565.134521
Angola,AGO,Africa,Sub-Saharan Africa,2012,0.523,22,22685632,59.77,5102.489969
Argentina,ARG,Americas,Latin America and the Caribbean,2012,0.823,35,42095224,75.926,12969.70712
Armenia,ARM,Asia,Western Asia,2012,0.736,34,2978339,73.814,3684.80481
Australia,AUS,Oceania,Australia and New Zealand,2012,0.933,85,22911375,82.04634146,67864.68986
Austria,AUT,Europe,Western Europe,2012,0.887,69,8455477,80.93658537,48567.69529
Azerbaijan,AZE,Asia,Western Asia,2012,0.745,27,9361477,71.478,7496.294648
Bahrain,BHR,Asia,Western Asia,2012,0.815,51,1333577,76.341,23649.36661
Bangladesh,BGD,Asia,Southern Asia,2012,0.565,26,155257387,71.039,856.342857
Barbados,BRB,Americas,Latin America and the Caribbean,2012,0.792,76,281580,75.292,16536.21464
Belarus,BLR,Europe,Eastern Europe,2012,0.796,31,9490962,71.96585366,6940.159254
Belgium,BEL,Europe,Western Europe,2012,0.889,75,11079521,80.38536585,44740.58325
Belize,BLZ,Americas,Latin America and the Caribbean,2012,0.706,NA,336707,69.798,4644.559565
Benin,BEN,Africa,Sub-Saharan Africa,2012,0.466,36,10049792,59.855,837.9505001
Bhutan,BTN,Asia,Southern Asia,2012,0.589,63,743711,68.639,2422.008016
Bosnia and Herzegovina,BIH,Europe,Southern Europe,2012,0.735,42,3828419,76.223,4722.013403
Botswana,BWA,Africa,Sub-Saharan Africa,2012,0.693,65,2132822,62.425,6901.971971
Brazil,BRA,Americas,Latin America and the Caribbean,2012,0.734,43,202401584,74.488,12291.46685
Bulgaria,BGR,Europe,Eastern Europe,2012,0.781,41,7303741,74.31463415,7378.02473
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2012,0.392,38,16590813,58.377,673.8228182
Burundi,BDI,Africa,Sub-Saharan Africa,2012,0.398,19,10124572,55.807,250.3627366
Cambodia,KHM,Asia,South-eastern Asia,2012,0.546,22,14832255,67.466,951.1112311
Cameroon,CMR,Africa,Sub-Saharan Africa,2012,0.501,26,21659488,56.241,1380.509848
Canada,CAN,Americas,Northern America,2012,0.909,84,34868151,81.5835122,52496.69487
Central African Republic,CAF,Africa,Sub-Saharan Africa,2012,0.37,26,4619500,49.041,483.1860932
Chad,TCD,Africa,Sub-Saharan Africa,2012,0.387,19,12715465,51.3,973.4702574
Chile,CHL,Americas,Latin America and the Caribbean,2012,0.831,72,17388437,78.758,15431.90293
China,CHN,Asia,Eastern Asia,2012,0.713,39,1355386952,75.602,6337.883323
Colombia,COL,Americas,Latin America and the Caribbean,2012,0.712,36,46881018,73.673,7904.495789
Comoros,COM,Africa,Sub-Saharan Africa,2012,0.49,28,733661,62.596,1403.434335
Costa Rica,CRI,Americas,Latin America and the Caribbean,2012,0.762,54,4654148,79.077,9985.36959
Croatia,HRV,Europe,Southern Europe,2012,0.817,46,4287015,76.92439024,13250.75712
Cuba,CUB,Americas,Latin America and the Caribbean,2012,0.773,48,11342631,79.167,6425.941119
Cyprus,CYP,Asia,Western Asia,2012,0.85,66,1129303,79.81,28984.91481
Denmark,DNK,Europe,Northern Europe,2012,0.924,90,5600972,80.05121951,58507.50021
Djibouti,DJI,Africa,Sub-Saharan Africa,2012,0.464,36,853069,61.31,1536.150685
Dominica,DMA,Americas,Latin America and the Caribbean,2012,0.721,58,71685,NA,6745.849758
Dominican Republic,DOM,Americas,Latin America and the Caribbean,2012,0.709,32,10155036,73.098,5973.222937
Ecuador,ECU,Americas,Latin America and the Caribbean,2012,0.725,32,15419493,75.449,5702.104313
El Salvador,SLV,Americas,Latin America and the Caribbean,2012,0.675,38,6072233,72.479,3437.599638
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,2012,0.586,20,773729,56.601,21557.65187
